================================================================
GEMV AVX+FMA Tuning Results - AMD Ryzen 5 5600 (Zen 3)
================================================================

THEORETICAL OPTIMAL VALUES (75% cache utilization):
  L1 (32KB):  Working set ~24KB -> ROW_BLOCK=8,   COL_BLOCK=48-64
  L2 (512KB): Working set ~384KB -> ROW_BLOCK=64,  COL_BLOCK=192-256
  L3 (4MB):   Working set ~3MB   -> ROW_BLOCK=128, COL_BLOCK=512-1024

================================================================
                    EXPERIMENTAL RESULTS
================================================================

Matrix: 64x64 (fits in L1 cache)
----------------------------------------------------------------
ROW_BLK | COL_BLK | UNROLL | PREFETCH | GFLOPS
--------|---------|--------|----------|--------
      4 |      32 |      1 |        0 |  14.05
      4 |      32 |      1 |       32 |  13.22
      4 |      32 |      1 |       64 |  14.01
      4 |      32 |      1 |      128 |  13.99
      4 |      32 |      2 |        0 |  19.11
      4 |      32 |      2 |       32 |  19.03
      4 |      32 |      2 |       64 |  18.95
      4 |      32 |      2 |      128 |  18.98
      4 |      32 |      4 |        0 |  20.10
      4 |      32 |      4 |       32 |  18.74
      4 |      32 |      4 |       64 |  18.82
      4 |      32 |      4 |      128 |  18.87
      4 |      64 |      1 |        0 |  17.75
      4 |      64 |      1 |       32 |  17.63
      4 |      64 |      1 |       64 |  17.68
      4 |      64 |      1 |      128 |  17.69
      4 |      64 |      2 |        0 |  24.39
      4 |      64 |      2 |       32 |  24.23
      4 |      64 |      2 |       64 |  24.24
      4 |      64 |      2 |      128 |  24.26
      4 |      64 |      4 |        0 |  26.11
      4 |      64 |      4 |       32 |  22.06
      4 |      64 |      4 |       64 |  25.46
      4 |      64 |      4 |      128 |  25.43
      4 |     128 |      1 |        0 |  17.73
      4 |     128 |      1 |       32 |  17.61
      4 |     128 |      1 |       64 |  17.65
      4 |     128 |      1 |      128 |  17.65
      4 |     128 |      2 |        0 |  24.34
      4 |     128 |      2 |       32 |  24.23
      4 |     128 |      2 |       64 |  24.24
      4 |     128 |      2 |      128 |  24.23
      4 |     128 |      4 |        0 |  26.21
      4 |     128 |      4 |       32 |  26.64
      4 |     128 |      4 |       64 |  26.80
      4 |     128 |      4 |      128 |  26.69
      4 |     256 |      1 |        0 |  18.54
      4 |     256 |      1 |       32 |  18.55
      4 |     256 |      1 |       64 |  18.55
      4 |     256 |      1 |      128 |  18.56
      4 |     256 |      2 |        0 |  25.62
      4 |     256 |      2 |       32 |  25.43
      4 |     256 |      2 |       64 |  25.49
      4 |     256 |      2 |      128 |  25.50
      4 |     256 |      4 |        0 |  27.29
      4 |     256 |      4 |       32 |  26.64
      4 |     256 |      4 |       64 |  24.20
      4 |     256 |      4 |      128 |  26.73
      4 |     512 |      1 |        0 |  18.63
      4 |     512 |      1 |       32 |  18.53
      4 |     512 |      1 |       64 |  18.54
      4 |     512 |      1 |      128 |  18.56
      4 |     512 |      2 |        0 |  25.61
      4 |     512 |      2 |       32 |  25.46
      4 |     512 |      2 |       64 |  25.50
      4 |     512 |      2 |      128 |  25.46
      4 |     512 |      4 |        0 |  27.29
      4 |     512 |      4 |       32 |  26.75
      4 |     512 |      4 |       64 |  27.18
      4 |     512 |      4 |      128 |  28.03
      8 |      32 |      1 |        0 |  16.14
      8 |      32 |      1 |       32 |  16.23
      8 |      32 |      1 |       64 |  16.25
      8 |      32 |      1 |      128 |  16.19
      8 |      32 |      2 |        0 |  23.80
      8 |      32 |      2 |       32 |  23.62
      8 |      32 |      2 |       64 |  23.67
      8 |      32 |      2 |      128 |  23.88
      8 |      32 |      4 |        0 |  24.99
      8 |      32 |      4 |       32 |  23.14
      8 |      32 |      4 |       64 |  21.40
      8 |      32 |      4 |      128 |  23.40
      8 |      64 |      1 |        0 |  20.05
      8 |      64 |      1 |       32 |  19.89
      8 |      64 |      1 |       64 |  19.92
      8 |      64 |      1 |      128 |  19.92
      8 |      64 |      2 |        0 |  28.55
      8 |      64 |      2 |       32 |  28.41
      8 |      64 |      2 |       64 |  28.42
      8 |      64 |      2 |      128 |  28.49
      8 |      64 |      4 |        0 |  31.51
      8 |      64 |      4 |       32 |  30.35
      8 |      64 |      4 |       64 |  30.51
      8 |      64 |      4 |      128 |  30.74
      8 |     128 |      1 |        0 |  20.30
      8 |     128 |      1 |       32 |  20.17
      8 |     128 |      1 |       64 |  20.14
      8 |     128 |      1 |      128 |  20.16
      8 |     128 |      2 |        0 |  28.88
      8 |     128 |      2 |       32 |  28.73
      8 |     128 |      2 |       64 |  28.74
      8 |     128 |      2 |      128 |  28.70
      8 |     128 |      4 |        0 |  31.89
      8 |     128 |      4 |       32 |  30.78
      8 |     128 |      4 |       64 |  30.78
      8 |     128 |      4 |      128 |  30.77
      8 |     256 |      1 |        0 |  20.29
      8 |     256 |      1 |       32 |  18.95
      8 |     256 |      1 |       64 |  20.25
      8 |     256 |      1 |      128 |  20.27
      8 |     256 |      2 |        0 |  28.91
      8 |     256 |      2 |       32 |  28.72
      8 |     256 |      2 |       64 |  28.80
      8 |     256 |      2 |      128 |  28.80
      8 |     256 |      4 |        0 |  32.04
      8 |     256 |      4 |       32 |  30.88
      8 |     256 |      4 |       64 |  30.91
      8 |     256 |      4 |      128 |  30.85
      8 |     512 |      1 |        0 |  20.32
      8 |     512 |      1 |       32 |  20.26
      8 |     512 |      1 |       64 |  20.26
      8 |     512 |      1 |      128 |  20.28
      8 |     512 |      2 |        0 |  28.94
      8 |     512 |      2 |       32 |  28.77
      8 |     512 |      2 |       64 |  28.80
      8 |     512 |      2 |      128 |  28.80
      8 |     512 |      4 |        0 |  32.03
      8 |     512 |      4 |       32 |  30.80
      8 |     512 |      4 |       64 |  30.89
      8 |     512 |      4 |      128 |  30.80
     16 |      32 |      1 |        0 |  16.78
     16 |      32 |      1 |       32 |  15.44
     16 |      32 |      1 |       64 |  16.75
     16 |      32 |      1 |      128 |  13.40
     16 |      32 |      2 |        0 |  25.38
     16 |      32 |      2 |       32 |  25.02
     16 |      32 |      2 |       64 |  25.00
     16 |      32 |      2 |      128 |  25.10
     16 |      32 |      4 |        0 |  27.15
     16 |      32 |      4 |       32 |  25.41
     16 |      32 |      4 |       64 |  25.87
     16 |      32 |      4 |      128 |  25.85
     16 |      64 |      1 |        0 |  20.66
     16 |      64 |      1 |       32 |  20.56
     16 |      64 |      1 |       64 |  20.56
     16 |      64 |      1 |      128 |  20.58
     16 |      64 |      2 |        0 |  29.67
     16 |      64 |      2 |       32 |  29.60
     16 |      64 |      2 |       64 |  29.60
     16 |      64 |      2 |      128 |  29.65
     16 |      64 |      4 |        0 |  33.84
     16 |      64 |      4 |       32 |  32.28
     16 |      64 |      4 |       64 |  32.20
     16 |      64 |      4 |      128 |  32.25
     16 |     128 |      1 |        0 |  20.66
     16 |     128 |      1 |       32 |  20.52
     16 |     128 |      1 |       64 |  20.55
     16 |     128 |      1 |      128 |  20.53
     16 |     128 |      2 |        0 |  29.78
     16 |     128 |      2 |       32 |  29.60
     16 |     128 |      2 |       64 |  24.14
     16 |     128 |      2 |      128 |  25.74
     16 |     128 |      4 |        0 |  33.55
     16 |     128 |      4 |       32 |  32.09
     16 |     128 |      4 |       64 |  32.24
     16 |     128 |      4 |      128 |  32.22
     16 |     256 |      1 |        0 |  20.73
     16 |     256 |      1 |       32 |  20.63
     16 |     256 |      1 |       64 |  20.59
     16 |     256 |      1 |      128 |  20.62
     16 |     256 |      2 |        0 |  29.71
     16 |     256 |      2 |       32 |  29.69
     16 |     256 |      2 |       64 |  29.61
     16 |     256 |      2 |      128 |  29.65
     16 |     256 |      4 |        0 |  33.59
     16 |     256 |      4 |       32 |  32.18
     16 |     256 |      4 |       64 |  32.28
     16 |     256 |      4 |      128 |  32.20
     16 |     512 |      1 |        0 |  20.61
     16 |     512 |      1 |       32 |  20.59
     16 |     512 |      1 |       64 |  20.65
     16 |     512 |      1 |      128 |  20.67
     16 |     512 |      2 |        0 |  29.79
     16 |     512 |      2 |       32 |  29.63
     16 |     512 |      2 |       64 |  29.64
     16 |     512 |      2 |      128 |  29.63
     16 |     512 |      4 |        0 |  33.69
     16 |     512 |      4 |       32 |  32.19
     16 |     512 |      4 |       64 |  32.24
     16 |     512 |      4 |      128 |  32.20
     32 |      32 |      1 |        0 |  15.10
     32 |      32 |      1 |       32 |  16.94
     32 |      32 |      1 |       64 |  17.09
     32 |      32 |      1 |      128 |  17.24
     32 |      32 |      2 |        0 |  26.17
     32 |      32 |      2 |       32 |  26.27
     32 |      32 |      2 |       64 |  26.26
     32 |      32 |      2 |      128 |  26.33
     32 |      32 |      4 |        0 |  28.29
     32 |      32 |      4 |       32 |  26.38
     32 |      32 |      4 |       64 |  26.60
     32 |      32 |      4 |      128 |  26.97
     32 |      64 |      1 |        0 |  20.93
     32 |      64 |      1 |       32 |  20.85
     32 |      64 |      1 |       64 |  20.89
     32 |      64 |      1 |      128 |  20.85
     32 |      64 |      2 |        0 |  30.26
     32 |      64 |      2 |       32 |  30.12
     32 |      64 |      2 |       64 |  30.17
     32 |      64 |      2 |      128 |  30.07
     32 |      64 |      4 |        0 |  34.59
     32 |      64 |      4 |       32 |  33.24
     32 |      64 |      4 |       64 |  33.40
     32 |      64 |      4 |      128 |  33.32
     32 |     128 |      1 |        0 |  20.91
     32 |     128 |      1 |       32 |  20.83
     32 |     128 |      1 |       64 |  20.93
     32 |     128 |      1 |      128 |  19.69
     32 |     128 |      2 |        0 |  30.25
     32 |     128 |      2 |       32 |  30.13
     32 |     128 |      2 |       64 |  30.14
     32 |     128 |      2 |      128 |  30.13
     32 |     128 |      4 |        0 |  34.54
     32 |     128 |      4 |       32 |  33.18
     32 |     128 |      4 |       64 |  33.29
     32 |     128 |      4 |      128 |  33.22
     32 |     256 |      1 |        0 |  20.95
     32 |     256 |      1 |       32 |  20.87
     32 |     256 |      1 |       64 |  20.90
     32 |     256 |      1 |      128 |  20.92
     32 |     256 |      2 |        0 |  30.26
     32 |     256 |      2 |       32 |  30.16
     32 |     256 |      2 |       64 |  30.17
     32 |     256 |      2 |      128 |  30.09
     32 |     256 |      4 |        0 |  34.62
     32 |     256 |      4 |       32 |  33.13
     32 |     256 |      4 |       64 |  33.35
     32 |     256 |      4 |      128 |  33.37
     32 |     512 |      1 |        0 |  20.94
     32 |     512 |      1 |       32 |  20.90
     32 |     512 |      1 |       64 |  20.90
     32 |     512 |      1 |      128 |  20.88
     32 |     512 |      2 |        0 |  30.28
     32 |     512 |      2 |       32 |  30.18
     32 |     512 |      2 |       64 |  30.16
     32 |     512 |      2 |      128 |  30.08
     32 |     512 |      4 |        0 |  34.47
     32 |     512 |      4 |       32 |  30.52
     32 |     512 |      4 |       64 |  33.25
     32 |     512 |      4 |      128 |  33.16
     64 |      32 |      1 |        0 |  17.14
     64 |      32 |      1 |       32 |  17.02
     64 |      32 |      1 |       64 |  17.04
     64 |      32 |      1 |      128 |  17.12
     64 |      32 |      2 |        0 |  26.89
     64 |      32 |      2 |       32 |  26.07
     64 |      32 |      2 |       64 |  26.01
     64 |      32 |      2 |      128 |  26.04
     64 |      32 |      4 |        0 |  29.33
     64 |      32 |      4 |       32 |  25.95
     64 |      32 |      4 |       64 |  26.31
     64 |      32 |      4 |      128 |  26.31
     64 |      64 |      1 |        0 |  21.01
     64 |      64 |      1 |       32 |  20.86
     64 |      64 |      1 |       64 |  20.87
     64 |      64 |      1 |      128 |  20.92
     64 |      64 |      2 |        0 |  30.48
     64 |      64 |      2 |       32 |  30.37
     64 |      64 |      2 |       64 |  30.42
     64 |      64 |      2 |      128 |  30.41
     64 |      64 |      4 |        0 |  34.85
     64 |      64 |      4 |       32 |  33.41
     64 |      64 |      4 |       64 |  33.41
     64 |      64 |      4 |      128 |  33.43
     64 |     128 |      1 |        0 |  19.88
     64 |     128 |      1 |       32 |  20.90
     64 |     128 |      1 |       64 |  20.91
     64 |     128 |      1 |      128 |  20.90
     64 |     128 |      2 |        0 |  30.55
     64 |     128 |      2 |       32 |  30.43
     64 |     128 |      2 |       64 |  30.36
     64 |     128 |      2 |      128 |  30.40
     64 |     128 |      4 |        0 |  34.90
     64 |     128 |      4 |       32 |  33.47
     64 |     128 |      4 |       64 |  33.44
     64 |     128 |      4 |      128 |  33.50
     64 |     256 |      1 |        0 |  20.99
     64 |     256 |      1 |       32 |  20.85
     64 |     256 |      1 |       64 |  20.97
     64 |     256 |      1 |      128 |  20.94
     64 |     256 |      2 |        0 |  30.53
     64 |     256 |      2 |       32 |  30.38
     64 |     256 |      2 |       64 |  30.41
     64 |     256 |      2 |      128 |  30.37
     64 |     256 |      4 |        0 |  35.03
     64 |     256 |      4 |       32 |  33.36
     64 |     256 |      4 |       64 |  33.33
     64 |     256 |      4 |      128 |  33.50
     64 |     512 |      1 |        0 |  21.02
     64 |     512 |      1 |       32 |  20.97
     64 |     512 |      1 |       64 |  20.98
     64 |     512 |      1 |      128 |  20.97
     64 |     512 |      2 |        0 |  30.51
     64 |     512 |      2 |       32 |  25.05
     64 |     512 |      2 |       64 |  30.17
     64 |     512 |      2 |      128 |  30.22
     64 |     512 |      4 |        0 |  34.87
     64 |     512 |      4 |       32 |  33.40
     64 |     512 |      4 |       64 |  33.44
     64 |     512 |      4 |      128 |  33.46
    128 |      32 |      1 |        0 |  17.02
    128 |      32 |      1 |       32 |  17.05
    128 |      32 |      1 |       64 |  17.10
    128 |      32 |      1 |      128 |  17.05
    128 |      32 |      2 |        0 |  26.86
    128 |      32 |      2 |       32 |  26.60
    128 |      32 |      2 |       64 |  26.64
    128 |      32 |      2 |      128 |  26.62
    128 |      32 |      4 |        0 |  29.39
    128 |      32 |      4 |       32 |  26.06
    128 |      32 |      4 |       64 |  26.39
    128 |      32 |      4 |      128 |  26.29
    128 |      64 |      1 |        0 |  20.93
    128 |      64 |      1 |       32 |  20.87
    128 |      64 |      1 |       64 |  20.90
    128 |      64 |      1 |      128 |  20.87
    128 |      64 |      2 |        0 |  30.53
    128 |      64 |      2 |       32 |  30.48
    128 |      64 |      2 |       64 |  30.48
    128 |      64 |      2 |      128 |  30.50
    128 |      64 |      4 |        0 |  34.85
    128 |      64 |      4 |       32 |  30.05
    128 |      64 |      4 |       64 |  33.44
    128 |      64 |      4 |      128 |  33.36
    128 |     128 |      1 |        0 |  20.98
    128 |     128 |      1 |       32 |  20.93
    128 |     128 |      1 |       64 |  20.93
    128 |     128 |      1 |      128 |  20.99
    128 |     128 |      2 |        0 |  30.54
    128 |     128 |      2 |       32 |  30.42
    128 |     128 |      2 |       64 |  30.36
    128 |     128 |      2 |      128 |  30.44
    128 |     128 |      4 |        0 |  34.85
    128 |     128 |      4 |       32 |  33.43
    128 |     128 |      4 |       64 |  33.35
    128 |     128 |      4 |      128 |  33.48
    128 |     256 |      1 |        0 |  20.93
    128 |     256 |      1 |       32 |  20.91
    128 |     256 |      1 |       64 |  20.93
    128 |     256 |      1 |      128 |  20.95
    128 |     256 |      2 |        0 |  30.46
    128 |     256 |      2 |       32 |  30.34
    128 |     256 |      2 |       64 |  30.36
    128 |     256 |      2 |      128 |  30.37
    128 |     256 |      4 |        0 |  34.93
    128 |     256 |      4 |       32 |  33.43
    128 |     256 |      4 |       64 |  33.45
    128 |     256 |      4 |      128 |  33.44
    128 |     512 |      1 |        0 |  21.02
    128 |     512 |      1 |       32 |  20.89
    128 |     512 |      1 |       64 |  19.40
    128 |     512 |      1 |      128 |  20.93
    128 |     512 |      2 |        0 |  30.60
    128 |     512 |      2 |       32 |  30.46
    128 |     512 |      2 |       64 |  30.34
    128 |     512 |      2 |      128 |  30.40
    128 |     512 |      4 |        0 |  34.96
    128 |     512 |      4 |       32 |  33.41
    128 |     512 |      4 |       64 |  33.47
    128 |     512 |      4 |      128 |  33.44
----------------------------------------------------------------
OpenBLAS baseline: 26.97 GFLOPS
Best config: ROW=64, COL=256, UNROLL=4, PREFETCH=0 -> 35.03 GFLOPS
Speedup vs OpenBLAS: 1.30x

Matrix: 256x256 (fits in L2 cache)
----------------------------------------------------------------
ROW_BLK | COL_BLK | UNROLL | PREFETCH | GFLOPS
--------|---------|--------|----------|--------
      4 |      32 |      1 |        0 |  13.04
      4 |      32 |      1 |       32 |  13.12
      4 |      32 |      1 |       64 |  13.06
      4 |      32 |      1 |      128 |  13.09
      4 |      32 |      2 |        0 |  16.11
      4 |      32 |      2 |       32 |  16.19
      4 |      32 |      2 |       64 |  16.14
      4 |      32 |      2 |      128 |  16.16
      4 |      32 |      4 |        0 |  16.02
      4 |      32 |      4 |       32 |  15.33
      4 |      32 |      4 |       64 |  15.41
      4 |      32 |      4 |      128 |  15.52
      4 |      64 |      1 |        0 |  16.55
      4 |      64 |      1 |       32 |  16.29
      4 |      64 |      1 |       64 |  16.46
      4 |      64 |      1 |      128 |  16.44
      4 |      64 |      2 |        0 |  19.68
      4 |      64 |      2 |       32 |  19.79
      4 |      64 |      2 |       64 |  19.50
      4 |      64 |      2 |      128 |  19.62
      4 |      64 |      4 |        0 |  20.27
      4 |      64 |      4 |       32 |  19.42
      4 |      64 |      4 |       64 |  18.62
      4 |      64 |      4 |      128 |  18.44
      4 |     128 |      1 |        0 |  16.92
      4 |     128 |      1 |       32 |  16.90
      4 |     128 |      1 |       64 |  16.64
      4 |     128 |      1 |      128 |  17.03
      4 |     128 |      2 |        0 |  22.21
      4 |     128 |      2 |       32 |  22.34
      4 |     128 |      2 |       64 |  22.15
      4 |     128 |      2 |      128 |  22.33
      4 |     128 |      4 |        0 |  21.43
      4 |     128 |      4 |       32 |  21.67
      4 |     128 |      4 |       64 |  14.24
      4 |     128 |      4 |      128 |  16.52
      4 |     256 |      1 |        0 |  11.96
      4 |     256 |      1 |       32 |  14.15
      4 |     256 |      1 |       64 |  14.36
      4 |     256 |      1 |      128 |  14.68
      4 |     256 |      2 |        0 |  22.94
      4 |     256 |      2 |       32 |  22.94
      4 |     256 |      2 |       64 |  22.88
      4 |     256 |      2 |      128 |  22.58
      4 |     256 |      4 |        0 |  26.44
      4 |     256 |      4 |       32 |  25.56
      4 |     256 |      4 |       64 |  25.54
      4 |     256 |      4 |      128 |  25.91
      4 |     512 |      1 |        0 |  14.73
      4 |     512 |      1 |       32 |  10.90
      4 |     512 |      1 |       64 |  12.11
      4 |     512 |      1 |      128 |  12.52
      4 |     512 |      2 |        0 |  22.13
      4 |     512 |      2 |       32 |  22.39
      4 |     512 |      2 |       64 |  22.83
      4 |     512 |      2 |      128 |  23.07
      4 |     512 |      4 |        0 |  26.24
      4 |     512 |      4 |       32 |  25.69
      4 |     512 |      4 |       64 |  25.42
      4 |     512 |      4 |      128 |  25.90
      8 |      32 |      1 |        0 |  13.58
      8 |      32 |      1 |       32 |  13.69
      8 |      32 |      1 |       64 |  13.69
      8 |      32 |      1 |      128 |  13.59
      8 |      32 |      2 |        0 |  17.24
      8 |      32 |      2 |       32 |  17.29
      8 |      32 |      2 |       64 |  17.22
      8 |      32 |      2 |      128 |  17.18
      8 |      32 |      4 |        0 |  17.03
      8 |      32 |      4 |       32 |  16.58
      8 |      32 |      4 |       64 |  16.52
      8 |      32 |      4 |      128 |  16.45
      8 |      64 |      1 |        0 |  17.05
      8 |      64 |      1 |       32 |  16.85
      8 |      64 |      1 |       64 |  17.01
      8 |      64 |      1 |      128 |  17.02
      8 |      64 |      2 |        0 |  20.31
      8 |      64 |      2 |       32 |  20.44
      8 |      64 |      2 |       64 |  20.36
      8 |      64 |      2 |      128 |  20.45
      8 |      64 |      4 |        0 |  21.72
      8 |      64 |      4 |       32 |  20.47
      8 |      64 |      4 |       64 |  19.60
      8 |      64 |      4 |      128 |  19.40
      8 |     128 |      1 |        0 |  17.40
      8 |     128 |      1 |       32 |  17.38
      8 |     128 |      1 |       64 |  17.12
      8 |     128 |      1 |      128 |  17.28
      8 |     128 |      2 |        0 |  23.02
      8 |     128 |      2 |       32 |  21.71
      8 |     128 |      2 |       64 |  22.66
      8 |     128 |      2 |      128 |  22.98
      8 |     128 |      4 |        0 |  22.30
      8 |     128 |      4 |       32 |  22.25
      8 |     128 |      4 |       64 |  22.03
      8 |     128 |      4 |      128 |  21.16
      8 |     256 |      1 |        0 |  14.57
      8 |     256 |      1 |       32 |  14.63
      8 |     256 |      1 |       64 |  14.74
      8 |     256 |      1 |      128 |  14.77
      8 |     256 |      2 |        0 |  23.22
      8 |     256 |      2 |       32 |  23.51
      8 |     256 |      2 |       64 |  23.40
      8 |     256 |      2 |      128 |  23.36
      8 |     256 |      4 |        0 |  26.80
      8 |     256 |      4 |       32 |  26.28
      8 |     256 |      4 |       64 |  26.36
      8 |     256 |      4 |      128 |  26.23
      8 |     512 |      1 |        0 |  14.79
      8 |     512 |      1 |       32 |  14.69
      8 |     512 |      1 |       64 |  14.67
      8 |     512 |      1 |      128 |  14.97
      8 |     512 |      2 |        0 |  23.62
      8 |     512 |      2 |       32 |  23.38
      8 |     512 |      2 |       64 |  23.63
      8 |     512 |      2 |      128 |  23.61
      8 |     512 |      4 |        0 |  26.99
      8 |     512 |      4 |       32 |  26.44
      8 |     512 |      4 |       64 |  26.12
      8 |     512 |      4 |      128 |  26.56
     16 |      32 |      1 |        0 |  13.93
     16 |      32 |      1 |       32 |  14.03
     16 |      32 |      1 |       64 |  14.04
     16 |      32 |      1 |      128 |  13.95
     16 |      32 |      2 |        0 |  17.87
     16 |      32 |      2 |       32 |  17.95
     16 |      32 |      2 |       64 |  17.83
     16 |      32 |      2 |      128 |  18.00
     16 |      32 |      4 |        0 |  18.06
     16 |      32 |      4 |       32 |  17.14
     16 |      32 |      4 |       64 |  17.09
     16 |      32 |      4 |      128 |  16.88
     16 |      64 |      1 |        0 |  17.28
     16 |      64 |      1 |       32 |  16.62
     16 |      64 |      1 |       64 |  14.98
     16 |      64 |      1 |      128 |  17.36
     16 |      64 |      2 |        0 |  21.27
     16 |      64 |      2 |       32 |  21.09
     16 |      64 |      2 |       64 |  21.04
     16 |      64 |      2 |      128 |  21.03
     16 |      64 |      4 |        0 |  22.11
     16 |      64 |      4 |       32 |  20.50
     16 |      64 |      4 |       64 |  20.19
     16 |      64 |      4 |      128 |  19.58
     16 |     128 |      1 |        0 |  17.57
     16 |     128 |      1 |       32 |  17.51
     16 |     128 |      1 |       64 |  17.63
     16 |     128 |      1 |      128 |  17.61
     16 |     128 |      2 |        0 |  23.29
     16 |     128 |      2 |       32 |  23.21
     16 |     128 |      2 |       64 |  22.13
     16 |     128 |      2 |      128 |  22.79
     16 |     128 |      4 |        0 |  22.37
     16 |     128 |      4 |       32 |  22.64
     16 |     128 |      4 |       64 |  21.82
     16 |     128 |      4 |      128 |  21.70
     16 |     256 |      1 |        0 |  14.68
     16 |     256 |      1 |       32 |  14.88
     16 |     256 |      1 |       64 |  14.84
     16 |     256 |      1 |      128 |  13.45
     16 |     256 |      2 |        0 |  22.96
     16 |     256 |      2 |       32 |  23.48
     16 |     256 |      2 |       64 |  23.71
     16 |     256 |      2 |      128 |  23.51
     16 |     256 |      4 |        0 |  27.29
     16 |     256 |      4 |       32 |  26.08
     16 |     256 |      4 |       64 |  26.21
     16 |     256 |      4 |      128 |  26.77
     16 |     512 |      1 |        0 |  14.70
     16 |     512 |      1 |       32 |  14.76
     16 |     512 |      1 |       64 |  14.75
     16 |     512 |      1 |      128 |  14.67
     16 |     512 |      2 |        0 |  23.60
     16 |     512 |      2 |       32 |  23.70
     16 |     512 |      2 |       64 |  23.52
     16 |     512 |      2 |      128 |  23.51
     16 |     512 |      4 |        0 |  27.11
     16 |     512 |      4 |       32 |  26.11
     16 |     512 |      4 |       64 |  26.53
     16 |     512 |      4 |      128 |  26.54
     32 |      32 |      1 |        0 |  14.05
     32 |      32 |      1 |       32 |  14.15
     32 |      32 |      1 |       64 |  14.16
     32 |      32 |      1 |      128 |  14.16
     32 |      32 |      2 |        0 |  18.17
     32 |      32 |      2 |       32 |  18.24
     32 |      32 |      2 |       64 |  18.17
     32 |      32 |      2 |      128 |  18.14
     32 |      32 |      4 |        0 |  18.47
     32 |      32 |      4 |       32 |  17.59
     32 |      32 |      4 |       64 |  17.44
     32 |      32 |      4 |      128 |  17.29
     32 |      64 |      1 |        0 |  17.14
     32 |      64 |      1 |       32 |  16.98
     32 |      64 |      1 |       64 |  17.25
     32 |      64 |      1 |      128 |  17.15
     32 |      64 |      2 |        0 |  21.48
     32 |      64 |      2 |       32 |  21.05
     32 |      64 |      2 |       64 |  21.23
     32 |      64 |      2 |      128 |  21.34
     32 |      64 |      4 |        0 |  22.36
     32 |      64 |      4 |       32 |  20.98
     32 |      64 |      4 |       64 |  20.39
     32 |      64 |      4 |      128 |  19.88
     32 |     128 |      1 |        0 |  17.27
     32 |     128 |      1 |       32 |  17.24
     32 |     128 |      1 |       64 |  17.24
     32 |     128 |      1 |      128 |  17.32
     32 |     128 |      2 |        0 |  23.15
     32 |     128 |      2 |       32 |  23.27
     32 |     128 |      2 |       64 |  22.99
     32 |     128 |      2 |      128 |  23.31
     32 |     128 |      4 |        0 |  22.77
     32 |     128 |      4 |       32 |  22.69
     32 |     128 |      4 |       64 |  22.23
     32 |     128 |      4 |      128 |  21.52
     32 |     256 |      1 |        0 |  14.83
     32 |     256 |      1 |       32 |  14.72
     32 |     256 |      1 |       64 |  14.77
     32 |     256 |      1 |      128 |  14.67
     32 |     256 |      2 |        0 |  23.57
     32 |     256 |      2 |       32 |  23.40
     32 |     256 |      2 |       64 |  23.36
     32 |     256 |      2 |      128 |  23.11
     32 |     256 |      4 |        0 |  27.07
     32 |     256 |      4 |       32 |  26.21
     32 |     256 |      4 |       64 |  26.21
     32 |     256 |      4 |      128 |  26.61
     32 |     512 |      1 |        0 |  14.87
     32 |     512 |      1 |       32 |  14.93
     32 |     512 |      1 |       64 |  14.88
     32 |     512 |      1 |      128 |  14.77
     32 |     512 |      2 |        0 |  23.45
     32 |     512 |      2 |       32 |  23.59
     32 |     512 |      2 |       64 |  23.22
     32 |     512 |      2 |      128 |  23.58
     32 |     512 |      4 |        0 |  26.85
     32 |     512 |      4 |       32 |  26.37
     32 |     512 |      4 |       64 |  25.91
